title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria;status
BizDevOps: A Multivocal Literature Review;Lohrasbinasab, Irajand Acharya, Prameet Bhaktaand Colomo-Palacios, Ricardo;;2020;Springer Link;698--713;;BizDevOps as an extension of DevOps, reinforces the collaboration between business, development, and operation stakeholders in the organization in order to enhance the software cycle. While BizDevOps has not yet received much attention in academic circles, it has gained considerable prestige in the industry area. This situation reflects a gap between theory and practice in this context. In this work and by means of a Multivocal Literature Review authors gather visions from both academic and industry spheres on the topic. The result is a gathered image of BizDevOps, including definition, characteristics, related motivating issues, and potential challenges and benefits.;;;;;;;Springer International Publishing;;;;;Rejected
A Critical Review of Challenges in Hypermedia Systems Development;Lang, Michael;;2005;Springer Link;277--288;;None;;;;;;;Springer US;;;;;Rejected
Gamification for Improving Software Project Management Processes: A Systematic Literature Review;Machuca-Villegas, Lilianaand Gasca-Hurtado, Gloria Piedad;;2019;Springer Link;41--54;;This systematic literature review aims to (a) understand the current state of gamification as a strategy for improving processes associated with software project management and (b) define future gamification in the context of software project management. For these purposes, we identified and analyzed studies based on research interests, including software project management areas explored with gamification, gamification elements used in this context, research methods, and industry type. Our findings indicate a predominance of studies in project management areas related to integration, resources, and scoping. The most commonly reported research method is the solution proposal, and the most commonly used gamification element is the point system. Future research must focus on addressing unexplored project management areas, which can be intervened with gamification as an improvement strategy to facilitate the implementation of good practices that impact the success of software development projects.;;;;;;;Springer International Publishing;;;;;Rejected
Characterizing DevOps Culture: A Systematic Literature Review;S{\'a}nchez-Gord{\'o}n, Maryand Colomo-Palacios, Ricardo;;2018;Springer Link;3--15;;Time and quality pressures are affecting software process in all its stages. One of the proposed solutions to these pressures is DevOps. DevOps is aimed to increase the frequency, quality and speed of deploying software from development into production by means of new organizational structures and processes with a high degree of automation. Several authors underlined the fact, that beyond the tool chain, DevOps is a culture shift. However, to date the characterization of DevOps culture remains unclear. In this paper, authors tackle this problem by means of a Systematic Literature Review. Results provide a deeper understanding of the phenomena from human factor{\textasciiacute}s perspective.;;;;;;;Springer International Publishing;;;;;Rejected
Agile Development in Bureaucratic Environments: A Literature Review;Onwujekwe, Geraldand Weistroffer, Heinz;;2019;Springer Link;316--330;;For the past decade, agile development approaches have achieved a good level of success. It does appear however that not all development environments have the same level of agile readiness, hence an organization's prevalent culture may be a mismatch with the agile development approach adopted. In this paper, we report on a structured literature review of information systems development projects that were conducted in a public sector or government organization. We posit that public sector and government organizations are commonly found to be bureaucratic in nature and we investigate how this impacts the project implementation using agile methodology. We document the challenges encountered in implementing these projects and some approaches to resolving these challenges.;;;;;;;Springer International Publishing;;;;;Rejected
Agile Methodologies Applied to the Development of Internet of Things (IoT)-Based Systems: A Review;Guerrero-Ulloa, Gleiston and Rodríguez-Domínguez, Carlos and Hornos, Miguel J.;Sensors;2022;Scopus;;23;Throughout the evolution of software systems, empirical methodologies have been used in their development process, even in the Internet of Things (IoT) paradigm, to develop IoT-based systems (IoTS). In this paper, we review the fundamentals included in the manifesto for agile software development, especially in the Scrum methodology, to determine its use and role in IoTS development. Initially, 4303 documents were retrieved, a number that was reduced to 186 after applying automatic filters and by the relevance of their titles. After analysing their contents, only 60 documents were considered. Of these, 38 documents present the development of an IoTS using some methodology, 8 present methodologies focused on the construction of IoTS software, and 14 present methodologies close to the systems life cycle (SLC). Finally, only one methodology can be considered SLC-compliant. Out of 38 papers presenting the development of some IoTS following a methodology for traditional information systems (ISs), 42.1% have used Scrum as the only methodology, while 10.5% have used Scrum combined with other methodologies, such as eXtreme Programming (XP), Kanban and Rapid Prototyping. In the analysis presented herein, the existing methodologies for developing IoTSs have been grouped according to the different approaches on which they are based, such as agile, modelling, and service oriented. This study also analyses whether the different proposals consider the standard stages of the development process or not: planning and requirements gathering, solution analysis, solution design, solution coding and unit testing (construction), integration and testing (implementation), and operation and maintenance. In addition, we include a review of the automated frameworks, platforms, and tools used in the methodologies analysed to improve the development of IoTSs and the design of their underlying architectures. To conclude, the main contribution of this work is a review for IoTS researchers and developers regarding existing methodologies, frameworks, platforms, tools, and guidelines for the development of IoTSs, with a deep analysis framed within international standards dictated for this purpose. © 2023 by the authors.;Review;10.3390/s23020790;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146726491&doi=10.3390%2fs23020790&partnerID=40&md5=610a519c4d262a150af953a351f66ab8;;"agile methodologies; development methodologies; Internet of Things (IoT); Model-Based Engineering; Model-Driven Engineering; software engineering";"Humans; Internet; Internet of Things; Research Personnel; Software; Agile manufacturing systems; Integration testing; Life cycle; Software design; Software prototyping; Agile Methodologies; Agile software development; Development methodology; Development process; Internet of thing; Model-based engineering; Model-driven Engineering; Scrum methodologies; Software-systems; System life cycle; human; Internet; personnel; software; Internet of things";;;English;"Cited by: 0; All Open Access, Gold Open Access, Green Open Access";;Rejected
Toward collisions produced in requirements rankings: A qualitative approach and experimental study;Rojas, Luis A. and Macías, José A.;Journal of Systems and Software;2019;Scopus;;158;Requirements prioritization is an important issue that determines the way requirements are selected and processed in software projects. There already exist specific methods to classify and prioritize requirements, most of them based on quantitative measures. However, most of existing approaches do not consider collisions, which are an important concern in large-scale requirements sets and, more specifically, in agile development processes where requirements have to be uniquely selected for each software increment. In this paper, we propose QMPSR (Qualitative Method for Prioritizing Software Requirements), an approach that features the prioritization of requirements by considering qualitative elements that are related to the project's priorities. Our approach highlights a prioritization method that has proven to reduce collisions in software requirements rankings. Furthermore, QMPSR improves accuracy in classification when facing large-scale requirements sets, featuring no scalability problems as the number of requirements increases. We formally introduce QMPSR and then define prioritization effort and collision metrics to carry out comprehensive experiments involving different sets of requirements, comparing our approach with well-known existing prioritization methods. The experiments have provided satisfactory results, overcoming existing approaches and ensuring scalability. © 2019;Article;10.1016/j.jss.2019.110417;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072193237&doi=10.1016%2fj.jss.2019.110417&partnerID=40&md5=0623452cd48c5a7b3e021f070e5d7dca;;"Qualitative prioritization method; Requirement collision; Requirement prioritization";"Scalability; Prioritization; Qualitative approach; Qualitative method; Quantitative measures; Requirement collision; Requirements prioritization; Scalability problems; Software requirements; Requirements engineering";;;English;"Cited by: 5; All Open Access, Green Open Access";;Rejected
Defining Frames to Structure Agile Development in Hybrid Settings - A Multi-Case Interview Study;Prenner, Nils and Klünder, Jil and Schneider, Kurt;ACM International Conference Proceeding Series;2022;Scopus;34 – 44;;Companies often combine agile and plan-based methods to so-called hybrid development approaches to benefit from the advantages of both. Recent research highlights conflicts introduced when combining agile and plan-based approaches in the different phases of the software lifecycle. For example, using both agile and plan-based methods during the requirements engineering of a project requires a decision on how many requirements should be gathered up-front and how many can be gathered during the runtime of a project. These conflicts need to be solved in order to construct a successful development approach. In order to investigate why the conflicts exist, how they are addressed in industry, and how they are related to each other, we performed a multi-case interview study with 15 practitioners. Our results reveal that the conflicts exist because companies use plan-based approaches to structure their agile development and define spaces of freedom and flexibility at the same time. From this insight and our results, we derive a theory that shows how companies structure their development stepwise by defining frames.  © 2022 Owner/Author.;Conference paper;10.1145/3529320.3529324;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130786496&doi=10.1145%2f3529320.3529324&partnerID=40&md5=c48bcd73e8e436c74a7bd869db7dca65;;"agile development; Hybrid development approaches; multi-case interview study; plan-based development";"Computation theory; Requirements engineering; Software engineering; Agile development; Development approach; Hybrid development approach; Interview study; Multi-case interview study; Plan-based; Plan-based development; Recent researches; Requirement engineering; Software life cycles; Life cycle";;;English;"Cited by: 0; All Open Access, Bronze Open Access";;Rejected
Agile practices and motivation: A quantitative study with Brazilian software developers;Oliveira, Reutman and França, César;ACM International Conference Proceeding Series;2019;Scopus;365 – 368;;The motivation of software engineers has been a recurring object of study with the aim of seeking a greater and healthier performance in software development teams. Although few studies associate the use of agile methods with motivation, they have not been able to explain the reasons beyond this connection. Oriented by a theory of work motivation of software engineers, this paper aims to investigate how agile practices are related to the motivation of these individuals. A research questionnaire was designed to evaluate the correlation between the use of agile attributes and job characteristics associated to work motivation. A total of 90 software engineers in 12 Brazilian states and 48 different companies participated in the survey, and results indicate that 24 of 25 of the agile attributes have significant correlations with at least one of the characteristics of the work that ignites motivation. Following agile requirements management process and Delivering valuable functionalities earlier are among the most impacting practices. © 2019 Copyright is held by the owner/author(s).;Conference paper;10.1145/3319008.3319714;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064767632&doi=10.1145%2f3319008.3319714&partnerID=40&md5=0b260caf86bf04190796c4b1dcb45d5a;;"Agile methods; Human factors; Management; Motivation";"Engineering research; Engineers; Human engineering; Management; Motivation; Surveys; Agile methods; Agile practices; Agile requirements; Job characteristics; Quantitative study; Research questionnaires; Software developer; Software development teams; Software design";;;English;Cited by: 2;;Rejected
Enhancing requirements engineering in agile methodologies by agent-oriented goal models: Two empirical case studies;Tenso, Tanel and Norta, Alexander Horst and Rootsi, Hannes and Taveter, Kuldar and Vorontsova, Irina;Proceedings - 2017 IEEE 25th International Requirements Engineering Conference Workshops, REW 2017;2017;Scopus;268 – 275;;The use of agile methods in software engineering is a standard practice and user stories are established artefacts used for breaking complex system requirements into smaller subsets. However, user stories do not suffice for understanding the big picture of system requirements. While there are methods that try to solve this problem, they lack visual tool support and are too heavy for smaller projects. We have earlier proposed a novel agile agent-oriented modelling (AAOM) method for filling this gap. The AAOM method comprises a visual approach to requirements engineering in agile projects that is based on goal models originating in agent-oriented modelling and connects goals intuitively to user stories. The purpose of the study reported in this article was evaluating the AAOM method for requirements engineering in two real-life case studies. The qualitative evaluation explores the applicability of AAOM for requirements engineering in agile software development processes. © 2017 IEEE.;Conference paper;10.1109/REW.2017.24;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034663452&doi=10.1109%2fREW.2017.24&partnerID=40&md5=dc5c0d82f7de2318212e01a9b02fcc50;;"Agile software engineering; Case study; Goal model; User story";"Agile manufacturing systems; Requirements engineering; Software design; Agent-oriented modelling; Agile software development process; Agile software engineering; Empirical case studies; Goal modeling; Qualitative evaluations; User stories; Visual tool supports; Software engineering";;;English;Cited by: 15;;Rejected
Working towards the student Scrum - Developing Agile Android applications;Reichlmayr, Thomas;ASEE Annual Conference and Exposition, Conference Proceedings;2011;Scopus;;;Student project teams are an integral part of the software engineering curriculum. This paper reports on the classroom experiences of student teams developing Android applications using Scrum. The course in study is a software engineering undergraduate elective in Agile Software Development which used Android mobile phones donated by Google as the development environment for student teams to learn and practice Scrum. Scrum is an agile project management framework increasingly being adopted in the development of commercial software products. When used in an academic setting it provides the opportunity to introduce and practice project management skills involving planning, estimation, tracking and identifying opportunities for continuous process improvement. As the ideal number of team members on a Scrum project is 5-9 developers, Scrum maps well from a size perspective for the typical student team collaborating on a course or capstone project. While Scrum has specific project roles and ceremonies, it is intentionally non-prescriptive on the development practices to be used in the execution of the project. In a software development project these practices are realized in the familiar software engineering life-cycles activities of requirements-analysis-design-code-testdeploy. In an Agile process these activities occur in more tightly wound incremental and iterative time boxes. Agile has also introduced variations on existing software development practices such as test first design or the frontloading of testing activities early in the development life-cycle. The paper addresses the benefits and limitations of the adoption of Scrum by a student project team and proposes recommendations for a pragmatic process framework - the Student Scrum - based on the contributions of agile processes and practices. © 2011 American Society for Engineering Education.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029053637&partnerID=40&md5=767f860d20d39963a1e449260942fcd1;;;"Android (operating system); Curricula; Engineering education; Life cycle; Management science; Project management; Software engineering; Software testing; Students; Teaching; Agile software development; Commercial software products; Continuous process improvement; Engineering undergraduates; Software development practices; Software development projects; Software engineering curricula; Software engineering life-cycle; Software design";;;English;Cited by: 6;;Rejected
User story clustering in agile development: a framework and an empirical study;Yang, Bo and Ma, Xiuyin and Wang, Chunhui and Guo, Haoran and Liu, Huai and Jin, Zhi;Frontiers of Computer Science;2022;Scopus;;17;Agile development aims at rapidly developing software while embracing the continuous evolution of user requirements along the whole development process. User stories are the primary means of requirements collection and elicitation in the agile development. A project can involve a large amount of user stories, which should be clustered into different groups based on their functionality’s similarity for systematic requirements analysis, effective mapping to developed features, and efficient maintenance. Nevertheless, the current user story clustering is mainly conducted in a manual manner, which is time-consuming and subjective to human bias. In this paper, we propose a novel approach for clustering the user stories automatically on the basis of natural language processing. Specifically, the sentence patterns of each component in a user story are first analysed and determined such that the critical structure in the representative tasks can be automatically extracted based on the user story meta-model. The similarity of user stories is calculated, which can be used to generate the connected graph as the basis of automatic user story clustering. We evaluate the approach based on thirteen datasets, compared against ten baseline techniques. Experimental results show that our clustering approach has higher accuracy, recall rate and F1-score than these baselines. It is demonstrated that the proposed approach can significantly improve the efficacy of user story clustering and thus enhance the overall performance of agile development. The study also highlights promising research directions for more accurate requirements elicitation. © 2023, Higher Education Press.;Article;10.1007/s11704-022-8262-9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146664699&doi=10.1007%2fs11704-022-8262-9&partnerID=40&md5=a92789788867ee1ed3517ab0b0766bbe;;"agile development; clustering; user story; user story mapping";"Natural language processing systems; Requirements engineering; Agile development; Clusterings; Development process; Empirical studies; Group-based; Large amounts; User requirements; User stories; User story mapping; Mapping";;;English;Cited by: 0;;Rejected
Process model for systematic requirements prioritisation process in an agile software development environment based on 5S approach: Empirical study;Al-Ta’ani, Rami Hasan and Razali, Rozilawati;Journal of Theoretical and Applied Information Technology;2017;Scopus;1715 – 1736;95;In an unstable software development characterized by the turbulence of markets and the competitive pressures, the organization is forced to adopt new software development methodology to be survival. The agile methods have been introduced to maintain the organization endurance. New challenges await agile methods, when requirement prioritisation and re-prioritisation happened frequently, this leads to unstable and disorganize requirement prioritisation process in agile development environment. To improve its effectiveness and make the environment more systematic and organized, this study proposes an adoption of the lean manufacturing tool, which is 5S approach. The 5S approach improve the work environment as it’s designed to check the process and guaranty that issues are identified and get rid of issues. Consequently, this study aims to identify the issues that affect the requirement prioritisation process. Therefore, in-depth interviews have been carried by involving 18 agile practitioners from different agile software development companies. The data collected for this study were analyzed by using grounded theory techniques (Open, Axial and Selective coding). The results are proposed a process model that will allow an improvement of the process by applying a suitable “S” to overcome the issues that might lead to unsystematic and disorganize environment. © 2005 – ongoing JATIT & LLS.;Article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018450046&partnerID=40&md5=90ca714ff1f0f4b287f29165479e56b2;;"5S approach; Agile methods; Lean manufacture; Requirements analysis; Requirements Prioritisation process";;;;English;Cited by: 6;;Rejected
The Role of Requirements Engineering Practices in Agile Development: An Empirical Study;Wang, Xinyu and Zhao, Liping and Wang, Ye and Sun, Jie;Communications in Computer and Information Science;2014;Scopus;195 – 205;432 CCIS;Requirements Engineering (RE) plays a fundamental role in all sorts of software development processes. Recently, agile software development has been growing in popularity. However, in contrast to the extensive research of RE in traditional software development, the role of RE in agile development has not yet been studied in depth. In this paper, we present a survey with three research questions to explore the treatment of RE in the practical agile development by investigating eight agile groups from four software development organizations. To answer the three research questions, we targeted at 108 participants with rich agile experiences and designed a questionnaire to collect their answers. Our survey shows that agile RE practices play a crucial role in agile development and they are an important prerequisite for projects' success though many agile methods advocate coding without waiting for formal requirements and design specifications. © Springer-Verlag Berlin Heidelberg 2014.;Conference paper;10.1007/978-3-662-43610-3_15;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904742226&doi=10.1007%2f978-3-662-43610-3_15&partnerID=40&md5=e7f21c5f90af445f29ba01c974061632;;"agile software development; requirements analysis; requirements engineering; scrum; survey";"Software design; Surveying; Surveys; Agile software development; Design specification; Empirical studies; Requirements analysis; Research questions; scrum; Software development organizations; Software development process; Requirements engineering";;;English;Cited by: 38;;Rejected
Why feature-based roadmaps fail in rapidly changing markets: A qualitative survey;Münch, Jürgen and Trieflinger, Stefan and Lang, Dominic;CEUR Workshop Proceedings;2018;Scopus;202 – 218;2305;Context: Companies in highly dynamic markets struggle increasingly with their ability to plan their future product portfolios and to create reliable feature-driven roadmaps. It seems that the traditional process of product roadmap creation that aims at providing a stable plan for all involved stakeholders does not fulfill its purpose anymore. However, the underlying reasons as well as necessary changes to the roadmap process are not widely analyzed and understood. Objective: This paper aims at getting an understanding of current problems and challenges with roadmapping processes in companies that are facing volatile markets with innovative products. It also aims at gathering ideas and attempts on how to react to those challenges. Method: As an initial step towards the objectice a semi-structured expert interview study with a case company in the Smart Home domain was conducted. Four employees from the case company with different roles around product roadmaps have been interviewed and a content analysis of the data has been performed. Results: The study shows a significant consensus among the interviewees about several major challenges and the necessity to change the traditional roadmapping process and format. The interviewees stated that based on their experience traditional feature-based product roadmaps are increasingly losing their benefits (such as good planning certainty) in volatile environments. Furthermore, the ability to understand customer needs and behaviors has become highly important for creating and adjusting product roadmaps. The interviewees see the need for both, sufficiently stable goals on the roadmap and flexibility with respect to products or features to be developed. To reach this target the interviewees proposed to create roadmaps based on outcome goals instead of product features. In addition, it was proposed to decrease the level of detail of the roadmaps and to emphasize the long-term view. Decisions about which feature to develop should be open as long as possible. Expected benefits of such a new way of product roadmapping are higher user-centricity, a stable overall direction, more flexibility with respect to development decisions, and less breaking of commitments. © 2018 CEUR-WS. All rights reserved.;Conference paper;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060604714&partnerID=40&md5=27b8cd3a4b370bc974f96b5d163ba31e;;"Agile development; Agile requirements management; Customer development; Innovation management; Lean development; Lean UX; Portfolio management; Portfolio roadmap; Product management; Product roadmap; Requirements engineering; UX";"Automation; Commerce; Ecosystems; Financial data processing; Investments; Requirements engineering; Silicon compounds; Tungsten compounds; Agile development; Agile requirements; Customer development; Innovation management; Lean development; Lean ux; Portfolio managements; Product management; Roadmap; Boron compounds";;;English;Cited by: 14;;Rejected
Discovering undocumented knowledge through visualization of agile software development activities: Case studies on industrial projects using issue tracking system and version control system;Saito, Shinobu and Iimura, Yukako and Massey, Aaron K. and Antón, Annie I.;Requirements Engineering;2018;Scopus;381 – 399;23;In agile software development projects, software engineers prioritize implementation over documentation. Is the cost of missing documentation greater than the cost of producing unnecessary or unused documentation? Agile software engineers must still maintain other software artifacts, such as tickets in an issue tracking system or source code committed to a version control system (VCS). Do these artifacts contain useful knowledge? In this paper, we examine undocumented knowledge in a multi-case exploratory case study of industrial agile software development projects. The first is an internal project with 159 source code commits and roughly 8000 lines of code. The second is an external project with 760 source code commits and roughly 50,000 lines of code. We introduce a ticket-commit network chart (TCC) that visually represents time-series commit activities along with filed issue tickets. We also implement a tool to generate the TCC using both commit log and ticket data. Our case study revealed that software engineers committed source code to the VCS without a corresponding issue ticket in a non-trivial minority of instances. If these commits were based on and linked to individual issue tickets, then these “unissued” tickets would have accounted for a non-trivial minority (5–21%) of the knowledge needed for future software modification and operations. End users and requirements engineers also evaluated the contents of these commits. They found that the omission of links to individual tickets had an important impact on future software modification or operation with between 22 and 49% of these instances resulting in undocumented knowledge. © 2018, Springer-Verlag London Ltd., part of Springer Nature.;Article;10.1007/s00766-018-0291-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044951576&doi=10.1007%2fs00766-018-0291-4&partnerID=40&md5=e2266f05e9c56e7464b92934face419f;;"Agile; Agile development; Agile requirements; Requirements knowledge; Requirements management";"Agile manufacturing systems; Codes (symbols); Computer programming languages; Control systems; Engineers; Information management; Requirements engineering; Tracking (position); Agile; Agile development; Agile requirements; Requirements knowledge; Requirements management; Software design";;;English;Cited by: 6;;Rejected
Is there an agile handover? An empirical study of documentation and project handover practices across agile software teams;Stettina, Christoph Johann and Kroon, Egbert;2013 International Conference on Engineering, Technology and Innovation, ICE 2013 and IEEE International Technology Management Conference, ITMC 2013;2015;Scopus;;;The growing use of agile and lean methods has heated the discussion on efficiency and sustainability of software engineering processes. During project handovers, for example, loss of knowledge has been indicated and critics of agile methods point at a lack of documentation. In this paper we take the perspective of patterns of human action, looking at the actions the teams take and the artifacts they use during a software project handover. Our results from 30 teams in small to large size projects cover the perceptions of a variety of roles and indicate that the adoption is a learning process in three interdependent phases: Environment, System and Architecture. The participants in our study perceived the biggest gaps in the usefulness of available design and requirements documentation. Based on our findings we suggest that documentation artifacts should rather support the learning process and that including maintenance staff in the development process significantly helps improving the handover. © 2013 IEEE.;Conference paper;10.1109/ITMC.2013.7352703;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962252003&doi=10.1109%2fITMC.2013.7352703&partnerID=40&md5=e62f4e03da687e9aed157ce762567eb4;;"Agile project management; agile teams; empirical study; knowledge sharing; organizational management and coordination; process improvement; software development";"Engineering research; Industrial management; Learning systems; Management science; Project management; Software design; Software engineering; Sustainable development; Agile project management; Agile teams; Empirical studies; Knowledge-sharing; Organizational management and coordinations; Process Improvement; Human resource management";;;English;Cited by: 14;;Rejected
An empirical study on the requirements engineering practices for agile software development;Kassab, Mohamad;Proceedings - 40th Euromicro Conference Series on Software Engineering and Advanced Applications, SEAA 2014;2014;Scopus;254 – 261;;Collecting, understanding, and managing requirements are critical aspects in all development methods including agile methods as well. Nevertheless, little contemporary data exists for document actual practices of software professionals for software requirements engineering activities in agile environments. To remedy this deficiency and provide useful data to other researchers we conducted a survey study that drew participants from wide range of professions, industries and geographic locations. We filtered the survey responses according to the Software Development Life Cycle, then we analyzed how agile processes (compared to traditional waterfall model) deal with a paradox of requirements engineering. In this paper, we present this exploratory survey and its quantitative results. © 2014 IEEE.;Conference paper;10.1109/SEAA.2014.77;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916619875&doi=10.1109%2fSEAA.2014.77&partnerID=40&md5=df0ce5c59cd32b3bfda4e53e05ca6d36;;"agile development; common practices; Requirements Engineering; software development industry; software professionals";"Application programs; Life cycle; Requirements engineering; Surveys; Agile development; Agile software development; common practices; Engineering activities; Exploratory surveys; Managing requirements; Quantitative result; Software development life cycle; Software design";;;English;Cited by: 22;;Rejected
Agile Requirements Engineering and Software Planning for a Digital Health Platform to Engage the Effects of Isolation Caused by Social Distancing: Case Study;Meinert, Edward and Milne-Ives, Madison and Surodina, Svitlana and Lam, Ching;JMIR Public Health and Surveillance;2020;Scopus;;6;Background: Social distancing and shielding measures have been put in place to reduce social interaction and slow the transmission of the coronavirus disease (COVID-19). For older people, self-isolation presents particular challenges for mental health and social relationships. As time progresses, continued social distancing could have a compounding impact on these concerns. Objective: This project aims to provide a tool for older people and their families and peers to improve their well-being and health during and after regulated social distancing. First, we will evaluate the tool’s feasibility, acceptability, and usability to encourage positive nutrition, enhance physical activity, and enable virtual interaction while social distancing. Second, we will be implementing the app to provide an online community to assist families and peer groups in maintaining contact with older people using goal setting. Anonymized data from the app will be aggregated with other real-world data sources to develop a machine learning algorithm to improve the identification of patients with COVID-19 and track for real time use by health systems. Methods: Development of this project is occurring at the time of publication, and therefore, a case study design was selected to provide a systematic means of capturing software engineering in progress. The app development framework for software design was based on agile methods. The evaluation of the app’s feasibility, acceptability and usability shall be conducted using Public Health England's guidance on evaluating digital health products, Bandura’s model of health promotion, the Reach Effectiveness Adoption Implementation Maintenance (RE-AIM) framework and the Nonadoption, Abandonment and Challenges to the Scale-up, Spread and Suitability (NASSS) framework. Results: Making use of a pre-existing software framework for health behavior change, a proof of concept was developed, and a multistage app development and deployment for the solution was created. Grant submissions to fund the project and study execution have been sought at the time of publication, and prediscovery iteration of the solution has begun. Ethical approval for a feasibility study design is being sought. Conclusions: This case study lays the foundations for future app development to combat mental and societal issues arising from social distancing measures. The app will be tested and evaluated in future studies to allow continuous improvement of the app. This novel contribution will provide an evidence-based exemplar for future app development in the space of social isolation and loneliness. © Edward Meinert.;Article;10.2196/19297;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097846280&doi=10.2196%2f19297&partnerID=40&md5=4be6dfde6b8a1d7afbcf13d37e60cc53;;"Access; Aged; Agile; App; Artificial intelligence; Cellphone; Coronavirus; COVID-19; Data science; Digital health; Evaluation; Exercise; Health care quality; Information science; Mental health; Public reporting of healthcare data; Requirements engineering; Social distancing; Telemedicine";;;;English;"Cited by: 31; All Open Access, Gold Open Access, Green Open Access";;Rejected
Resolving Conflicts in Requirement Engineering Through Agile Software Development: A Comparative Case Study;Bhavsar, Raj and Thakkar, Arjun and Sanghavi, Pavan and Tanwar, Sudeep;Lecture Notes in Networks and Systems;2019;Scopus;349 – 357;55;Requirement engineering (RE) phase is the most important phase of software development life cycle (SDLC). To give the best possible product to the clients, the companies must identify and collect latest, complete, consistent, and clear requirements for the product. Poor requirements for any product will end up being the reiteration of the phases from the beginning, and it may results in an increase of cost and time. Every day clients are demanding something new, and if companies are not able to satisfy their requirements due to lack of requirement satisfaction of the clients, it may damage the reputation of the companies. In this paper, we have included some case studies regarding RE, conflicts in RE, and how to solve those conflicts which arise during the RE phase using Agile software development. © 2019, Springer Nature Singapore Pte Ltd.;Book chapter;10.1007/978-981-13-2324-9_35;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063139552&doi=10.1007%2f978-981-13-2324-9_35&partnerID=40&md5=4b4c3550de6db94fc96f4fcdff5a7c0a;;"Agile; Refinement of requirements; Requirement conflicts; Requirement engineering";;;;English;Cited by: 3;;Rejected
Improving the Quality of Requirements Engineering Process in Software Development with Agile Methods: A Case Study Telemedicine Startup XYZ;Wibawa, Adi S. and Budiardjo, Eko K. and Mahatma, Kodrat;2021 International Conference Advancement in Data Science, E-Learning and Information Systems, ICADEIS 2021;2021;Scopus;;;XYZ is a telemedicine startup company that uses Scrum, an Agile methodology, as a software development method. The company uses Scrum to deliver good products and services to customers on time, even with limited requirements. However, the company faced problems in product development, so the company could not release the product on time. Based on interviews with internal experts, the company has issues determining the priority scale of requirements and change requirement management, where both problems are part of requirement engineering. This study discusses the problems of the company XYZ regarding the requirement engineering process, especially the problem of determining the priority scale of requirements and change requirement management. This research uses the CMMI-Dev 1.3 specific process area to assess the requirement engineering process in the company using sub-specific practices in the Requirement Development (RD) and Requirement Management (REQM) process areas. Researchers conducted interviews with product managers to appraise sub-specific RD and REQM practices with current activities in the company. The results of this study are recommendations to improve the quality of the requirement engineering process by using Objective Key Result (OKR) and Action Priority Matrix (APM). © 2021 IEEE.;Conference paper;10.1109/ICADEIS52521.2021.9701962;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126537207&doi=10.1109%2fICADEIS52521.2021.9701962&partnerID=40&md5=d33656927c8478d084c229d655a7d77e;;"Action Priority Matrix; Agile; CMMI-Dev 1.3; Objective Key Result; Requirement Engineering; Scrum";"Telemedicine; Action priority matrix; Agile; CMMI-dev 1.3; matrix; Objective key result; Process areas; Requirement development; Requirement engineering; Requirement engineering process; Scra; Software design";;;English;Cited by: 1;;Rejected
